model_name,accuracy,precision,recall,f1
BERT-base-uncased,0.7932808583615496,0.7948878467897325,0.7932808583615496,0.7930850058797901
DistilBERT-base-uncased,0.7927531770810431,0.7930020374836791,0.7927531770810431,0.7917986477062173
LR_TFIDF,0.7810562420298139,0.7810559453086995,0.7810562420298139,0.778427389726029
SVM_TFIDF,0.7752957213842839,0.7719189567335709,0.7752957213842839,0.7727871037951001
SVM_BOW,0.7383580317488238,0.7432515006221178,0.7383580317488238,0.7392217852092074
LR_BOW,0.7271008310980168,0.7297492458255656,0.7271008310980168,0.7279766795811938
BiLSTM_GloVe,0.7778022074666902,0.6148362608744317,0.6136291408782771,0.6114124202955906
TextCNN_GloVe,0.7470647728771822,0.6075708529310737,0.5501440976446836,0.5647448447241836
